,aruco_IDs,aruco_Corners,Timestamps
123,[[4]],"(array([[[901., 781.],
        [998., 784.],
        [992., 879.],
        [898., 878.]]], dtype=float32),)",4928
124,[[4]],"(array([[[901., 780.],
        [998., 783.],
        [993., 877.],
        [897., 876.]]], dtype=float32),)",4969
125,[[4]],"(array([[[900., 778.],
        [997., 780.],
        [992., 875.],
        [897., 873.]]], dtype=float32),)",5009
126,[[4]],"(array([[[900., 774.],
        [997., 777.],
        [991., 871.],
        [896., 869.]]], dtype=float32),)",5049
127,[[4]],"(array([[[900., 770.],
        [996., 773.],
        [990., 867.],
        [896., 865.]]], dtype=float32),)",5089
128,[[4]],"(array([[[900., 767.],
        [997., 769.],
        [992., 863.],
        [897., 861.]]], dtype=float32),)",5129
129,[[4]],"(array([[[901., 766.],
        [996., 768.],
        [992., 863.],
        [897., 862.]]], dtype=float32),)",5169
130,[[4]],"(array([[[898., 769.],
        [994., 771.],
        [989., 866.],
        [894., 865.]]], dtype=float32),)",5209
131,[[4]],"(array([[[897., 774.],
        [994., 777.],
        [988., 871.],
        [893., 869.]]], dtype=float32),)",5249
132,[[4]],"(array([[[899., 775.],
        [994., 777.],
        [990., 872.],
        [894., 870.]]], dtype=float32),)",5289
133,[[4]],"(array([[[900., 774.],
        [995., 776.],
        [991., 871.],
        [896., 870.]]], dtype=float32),)",5329
134,[[4]],"(array([[[899., 773.],
        [995., 775.],
        [990., 870.],
        [896., 869.]]], dtype=float32),)",5369
135,[[4]],"(array([[[899., 771.],
        [995., 774.],
        [988., 869.],
        [894., 866.]]], dtype=float32),)",5410
136,[[4]],"(array([[[897., 771.],
        [994., 773.],
        [988., 868.],
        [894., 867.]]], dtype=float32),)",5450
137,[[4]],"(array([[[897., 770.],
        [993., 773.],
        [988., 867.],
        [893., 865.]]], dtype=float32),)",5490
138,[[4]],"(array([[[897., 770.],
        [993., 772.],
        [988., 867.],
        [893., 866.]]], dtype=float32),)",5530
