Timestamps,aruco_IDs,aruco_Corners
7653,[[4]],"(array([[[1045.,  798.],
        [1157.,  804.],
        [1153.,  910.],
        [1042.,  903.]]], dtype=float32),)"
7694,[[4]],"(array([[[1044.,  798.],
        [1156.,  804.],
        [1152.,  911.],
        [1042.,  903.]]], dtype=float32),)"
7734,[[4]],"(array([[[1045.,  798.],
        [1157.,  805.],
        [1152.,  911.],
        [1042.,  903.]]], dtype=float32),)"
7774,[[4]],"(array([[[1045.,  798.],
        [1157.,  804.],
        [1154.,  910.],
        [1043.,  903.]]], dtype=float32),)"
7814,[[4]],"(array([[[1046.,  798.],
        [1158.,  804.],
        [1154.,  910.],
        [1043.,  902.]]], dtype=float32),)"
7854,[[4]],"(array([[[1046.,  797.],
        [1157.,  803.],
        [1154.,  909.],
        [1042.,  901.]]], dtype=float32),)"
7894,[[4]],"(array([[[1044.,  797.],
        [1156.,  802.],
        [1152.,  909.],
        [1042.,  902.]]], dtype=float32),)"
7934,[[4]],"(array([[[1045.,  797.],
        [1156.,  802.],
        [1152.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7974,[[4]],"(array([[[1045.,  797.],
        [1157.,  802.],
        [1152.,  910.],
        [1043.,  902.]]], dtype=float32),)"
8014,[[4]],"(array([[[1045.,  797.],
        [1157.,  803.],
        [1152.,  910.],
        [1043.,  902.]]], dtype=float32),)"
8054,[[4]],"(array([[[1046.,  797.],
        [1157.,  803.],
        [1152.,  910.],
        [1042.,  902.]]], dtype=float32),)"
8094,[[4]],"(array([[[1045.,  798.],
        [1157.,  804.],
        [1153.,  910.],
        [1042.,  902.]]], dtype=float32),)"
8134,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  911.],
        [1042.,  903.]]], dtype=float32),)"
8174,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1153.,  910.],
        [1042.,  903.]]], dtype=float32),)"
8214,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  911.],
        [1042.,  903.]]], dtype=float32),)"
8254,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  910.],
        [1042.,  903.]]], dtype=float32),)"
