x_T,y_T,d_T,FaceA_T,FaceP_T,x_A,y_A,d_A,FaceT_A,FaceP_A,x_P,y_P,d_P,FaceT_P,FaceA_P,mutualGaze_TA,mutualGaze_TP,mutualGaze_AP,jointGazeT_AP,jointGazeA_TP,jointGazeP_TA,jointGazeTsp_AP,jointGazeAsp_TP,jointGazePsp_TA,sp_T,sp_A,sp_P
-583.0,269.0,642.067317505474,1.0,0.0,-536.0,372.5,652.727115278884,1.0,0.0,515.5,339.75,617.3902369311661,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-597.5,273.0,656.9330562808456,1.0,0.0,-541.0,378.0,659.9752254184182,1.0,0.0,519.5,339.0,620.3242552525344,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-569.0,283.5,635.7147943212658,1.0,0.0,-541.5,380.0,661.5302959738631,1.0,0.0,523.75,336.75,622.6687184457437,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-574.0,281.0,639.0913783645841,1.0,0.0,-534.0,382.5,656.8586055787698,1.0,0.0,526.25,335.5,624.0990479386296,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-565.0,283.5,632.1376796603749,1.0,0.0,-528.0,383.5,652.5766238534752,1.0,0.0,531.25,333.5,627.2550493382561,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-561.5,288.0,631.0517016314843,1.0,0.0,-525.0,381.0,648.6803247795294,1.0,0.0,530.75,331.0,625.5054559902622,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-541.5,289.5,614.1184689659725,1.0,0.0,-524.0,383.5,649.3445442912632,1.0,0.0,510.25,327.5,606.3663588246407,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-515.5,284.0,588.5587849571576,1.0,0.0,-508.5,371.5,629.7678392937446,1.0,0.0,528.0,327.5,621.3215194573515,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-504.5,278.0,576.0251878868442,1.0,0.0,-504.0,362.5,620.8239805007412,1.0,0.0,525.5,325.0,617.8799196841667,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-508.0,276.5,578.373864596348,1.0,0.0,-504.0,363.0,621.1159312076933,1.0,0.0,524.25,324.25,616.422333802414,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-520.0,275.5,588.4728581622974,1.0,0.0,-503.5,364.0,621.2956911259516,1.0,0.0,487.75,326.75,587.1146832788774,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-524.5,277.0,593.1520917746845,1.0,0.0,-504.0,363.0,621.1159312076933,1.0,0.0,492.75,331.0,593.6022084976044,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-528.5,275.5,595.9998159767975,1.0,0.0,-505.0,361.5,621.0533390941554,1.0,0.0,490.75,331.0,591.9431884742769,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-534.5,278.0,602.4785655889378,1.0,0.0,-506.0,362.0,622.1576692155978,1.0,0.0,490.5,330.5,591.4566608847415,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-523.25,257.2916666666667,583.4336873052739,1.0,0.0,-506.5,364.0,623.72930827403,1.0,0.0,490.5,329.0,590.6194439519243,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-522.25,230.45833333333331,571.9665262423104,0.0,0.0,-508.5,366.0,626.521362643183,1.0,0.0,489.5,328.5,589.5104058852735,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-521.25,203.625,560.4993651793468,0.0,0.0,-517.5,378.5,641.1463661848736,1.0,0.0,487.75,328.25,587.9185703819046,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-540.0,206.5,578.3195105852478,0.0,0.0,-517.5,382.0,643.219167389554,1.0,0.0,487.25,328.25,587.503727288399,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-545.0,285.5,615.2523923908782,0.0,0.0,-518.5,387.0,647.0017387920993,1.0,0.0,487.25,328.25,587.503727288399,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-577.5,329.0,664.9993936492358,0.0,0.0,-519.0,389.5,648.9001002265388,1.0,0.0,487.0,328.5,587.436233287418,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-576.5,328.5,664.1087239695698,0.0,0.0,-519.5,390.0,649.6000998629645,1.0,0.0,488.0,327.0,587.4295542621826,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-611.0,292.0,677.5541923794704,1.0,0.0,-510.5,375.0,633.4318428374074,1.0,0.0,524.75,311.0,609.9954410659401,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-595.5,284.0,660.4653550396645,1.0,0.0,-509.0,369.0,628.6827597425296,1.0,0.0,526.25,308.25,609.8832792672388,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-583.5,274.0,645.3175895376619,1.0,0.0,-508.5,365.5,626.2289236672765,1.0,0.0,524.5,306.75,607.6148937204055,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-559.5,318.0,643.9045840687432,0.0,0.0,-508.5,363.5,625.0637291129624,1.0,0.0,513.5,308.0,598.8381523996868,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
