x_T x_A x_P
-636.5 499.5 -507.0
-622.0 311.0 -507.5
-694.0 239.17857142857142 -508.0
-687.75 152.75 -508.0
-634.0 66.32142857142857 -507.75
-671.0 8.0 -507.0
-600.5 20.0 -506.5
-287.75 33.5 -507.5
-94.0 36.5 -507.75
-38.5 24.0 -507.5
-48.5 111.5 -507.5
-35.0 211.625 -507.0
-25.0 591.5 -507.0
-23.5 519.0 -507.0
-28.5 520.0 -507.0
-43.0 524.0 -507.0
153.0 524.5 -507.5
190.0 520.5 -507.25
200.0 506.5 -506.75
178.0 504.0 -507.25
185.5 501.5 -507.25
175.0 503.5 -506.0
182.5 513.5 -506.5
118.5 515.0 -507.0
298.5 515.0 -492.5
254.5 513.5 -480.92857142857144
136.5 516.0 -483.5
192.875 516.0 -486.07142857142856
215.5 510.0 -484.5
136.5 508.5 -488.25
77.85 509.0 -503.0
25.64999999999999 485.0 -501.5
21.0 447.45000000000005 -503.0
57.0 418.04999999999995 -503.5
55.5 450.5 -504.5
44.0 502.0 -504.75
53.5 501.5 -505.25
55.5 500.0 -504.75
52.0 491.5 -504.75
49.5 488.0 -503.75
-1.4166666666666643 483.0 -503.0
-203.08333333333331 486.0 -505.0
-404.75 491.0 -507.0
-554.25 495.5 -506.5
-547.25 491.0 -505.5
-581.5 487.0 -504.5
-471.5 492.0 -502.75
-528.0 496.0 -502.25
-568.3723404255319 496.0 -502.0
-546.2021276595744 497.0 -501.5
-524.031914893617 489.5 -501.5
-501.86170212765956 479.0 -501.5
-479.6914893617021 472.25 -503.0
-457.52127659574467 481.5 -503.75
-435.3510638297872 491.5 -505.0
-413.1808510638298 494.5 -505.5
-391.01063829787233 499.5 -506.5
-368.8404255319149 499.5 -505.5
-346.67021276595744 499.5 -505.5
-324.5 499.5 -517.0
-302.32978723404256 500.5 -514.0
-280.1595744680851 500.5 -514.0
-257.98936170212767 500.75 -513.5
-235.8191489361702 488.75 -515.0
-213.64893617021275 484.5 -514.5
-191.4787234042553 484.5 -513.5
-169.30851063829786 483.0 -513.5
-147.13829787234042 482.0 -514.0
-124.96808510638297 482.5 -512.5
-102.79787234042553 490.0 -512.5
-80.62765957446808 493.0 -515.0
-76.5 494.5 -515.5
23.0 496.75 -515.0
14.0 499.25 -514.0
16.0 504.5 -510.5
15.75 505.5 -504.0
-14.666666666666666 505.5 -507.5
24.666666666666668 503.5 -507.0
64.0 502.75 -506.5
65.5 502.5 -506.75
96.0 503.5 -506.75
62.5 505.0 -504.25
-70.0 507.5 -507.0
-40.0 508.5 -507.5
-30.5 508.5 -507.25
56.0 508.5 -507.5
55.5 506.0 -508.5
40.5 504.0 -509.75
28.0 504.0 -510.0
45.0 503.5 -510.75
21.625 502.5 -510.5
11.125 503.0 -511.25
0.625 506.0 -496.0
-31.5 506.0 -472.57142857142856
-18.5 505.0 -460.0
-22.0 480.5 -447.42857142857144
-63.0 452.0 -482.0
-39.0 438.0 -499.25
-28.5 460.5 -503.75
-26.5 487.5 -503.75
-25.5 489.0 -506.0
-15.5 489.0 -506.75
98.0 489.0 -507.75
151.0 488.0 -507.0
144.0 488.0 -511.0
149.0 487.5 -512.5
155.5 488.5 -510.5
155.5 488.5 -510.5
140.0 489.5 -510.75
124.0 490.5 -509.5
103.5 493.0 -505.5
101.0 493.0 -506.25
84.0 495.0 -506.25
112.5 495.5 -506.25
27.60000000000001 496.0 -505.75
-101.59999999999998 497.5 -505.75
-278.0 498.0 -505.25
-538.0 507.0 -504.5
-570.0 509.5 -504.25
-534.0 508.5 -503.0
-527.0 509.5 -503.5
-533.1666666666666 509.5 -501.75
-543.3888888888889 508.5 -500.5
-553.6111111111111 497.5 -499.75
-563.8333333333334 494.5 -499.5
-592.0 493.0 -499.25
-599.5 491.5 -500.25
-582.5 500.0 -500.75
-603.5 505.0 -501.25
-607.0 504.0 -502.5
-610.5 504.5 -503.0
-606.0 504.5 -504.25
-612.5 507.0 -503.75
-627.0 508.0 -504.25
-731.0 510.0 -504.75
-756.0 511.0 -504.75
-721.5 511.5 -493.0
-730.5 512.5 -482.0
-700.0 506.0 -480.5
-625.0 498.0 -475.0
-707.5 496.5 -475.5
-693.5 498.0 -475.0
-685.0 501.0 -473.5
-647.0 506.0 -473.5
