x_T x_P y_T y_P d_T d_P FaceP_T FaceT_P
-541.5 464.53571428571433 312.0 281.6071428571429 624.960569421567 543.5730016168408 0.0 0.0
-536.5 452.1071428571429 310.0 260.32142857142856 619.6232071723997 521.8013224532376 0.0 0.0
-527.0 501.75 309.0 326.75 610.9091630898686 598.7962678921629 0.0 0.0
-517.0 514.25 310.5 336.25 603.0749818467411 614.4245348379286 0.0 1.0
-518.0 514.75 312.5 334.5 604.9636213573345 613.887514996668 0.0 1.0
-517.0 513.5 313.5 337.75 604.6249071286001 614.6276340354152 0.0 1.0
-517.0 513.0 312.0 341.0 603.8485461944186 615.9951456719393 0.0 1.0
-514.5 512.25 312.0 341.25 601.7095917330782 615.5095565615377 0.0 1.0
-521.5 512.25 289.0 340.75 596.6596795543624 615.2322065269354 0.0 1.0
-486.0 509.75 275.0 337.5 558.9214071460083 611.352808889562 0.0 1.0
-512.0 510.75 291.5 336.0 589.5572771147777 611.3604194993945 0.0 1.0
-509.5 512.0 266.0 336.0 574.7582113368999 612.405111546671 0.0 1.0
-510.0 513.5 265.0 335.0 574.739117468479 613.1128977308647 0.0 1.0
-510.5 513.0 262.0 333.0 573.8068508835065 611.6028299921638 0.0 1.0
-511.5 513.25 258.0 332.25 572.8915493912051 611.4046372718055 0.0 1.0
-532.0 515.5 216.0 335.5 574.196588111625 615.0617681082749 0.0 1.0
-532.5 516.25 218.5 334.75 575.5853572576817 615.281841566469 0.0 1.0
-540.0 516.5 226.0 333.75 585.3870810620972 614.9485420044084 0.0 1.0
-544.5 511.25 218.0 323.5 586.5192250320907 605.0256806642449 0.0 1.0
-547.5 507.25 206.0 318.5 584.9723624222052 598.9533555019309 0.0 1.0
-553.0 510.25 204.5 317.0 589.6009265870546 600.7031039931139 0.0 1.0
-640.5 510.5 288.0 315.0 703.3084888839273 599.8627500835781 0.0 1.0
-708.0 510.5 256.5 315.5 753.0316461657083 600.1266312944742 0.0 1.0
-705.5 511.75 255.5 314.75 750.340267344247 600.7958767157943 0.0 1.0
-708.5 512.25 310.5 314.75 775.1667423580059 601.221875230417 0.0 1.0
-706.0 510.75 309.5 315.25 772.6586775733449 600.206833824068 0.0 1.0
-599.25 513.25 307.75 315.25 675.8809894187161 602.3358628726417 0.0 1.0
-547.5 514.5 274.5 314.5 612.467429407199 603.0095583829791 0.0 1.0
-616.0 516.0 300.5 313.5 687.124303914931 603.7707726963977 0.0 1.0
-604.0 519.0 249.5 313.0 653.5611129661731 606.0777728198085 0.0 1.0
-566.95 522.0 260.20833333333337 312.0 651.0082880218818 608.1350698773878 0.0 1.0
-422.75 523.25 289.04166666666663 311.5 639.3411514677612 608.9527682244263 0.0 1.0
-278.55 524.0 317.875 310.5 627.6740149136403 609.0864312369627 0.0 1.0
-519.0 523.25 340.0 311.5 620.4523857679685 608.9524803488175 0.0 1.0
-650.5 518.0 378.0 317.0 756.669195493791 607.3147361015589 0.0 1.0
-642.5 514.0 263.5 331.5 694.4347086401035 611.6279021091842 0.0 1.0
-654.0 514.5 274.5 334.25 709.2717025005471 613.5418036777097 0.0 1.0
-768.0 514.25 308.5 335.0 827.6511462342963 613.7412899381986 0.0 1.0
-447.70833333333337 514.0 333.54166666666663 334.25 559.0527042139709 613.1225774519467 0.0 1.0
-440.54166666666663 514.75 287.70833333333337 334.0 528.7234265645752 613.6151733924411 0.0 1.0
-433.375 515.0 241.875 333.5 498.3941489151796 613.5531159866521 0.0 1.0
-427.5 514.0 232.5 333.0 487.1402865171742 612.442075332471 0.0 1.0
-473.0 514.25 299.5 333.25 559.8544633346405 612.7875899957282 0.0 1.0
-530.5 514.5 309.0 334.0 613.9333084834157 613.4055965506411 0.0 1.0
-584.5 515.5 307.5 335.0 660.5964814675831 614.7889278202128 0.0 1.0
-572.5 516.75 288.0 336.5 640.8590342066773 616.6545476284562 0.0 1.0
-588.5 514.5 288.5 333.75 655.4134320895627 613.2693731814215 0.0 1.0
-578.0 507.0 262.625 321.75 635.8994877728704 600.4766173280201 0.0 1.0
-574.0 509.25 230.79166666666669 319.75 620.0337744457499 601.3201567835913 0.0 1.0
-570.0 511.75 198.95833333333334 317.75 604.1680611186295 602.3730102829571 0.0 1.0
-544.5 511.5 189.5 316.75 576.5335021915616 601.6335701019952 0.0 1.0
-537.5 511.0 230.5 315.5 585.199810605489 600.5509395560027 0.0 1.0
-556.5 511.0 280.5 314.75 623.2021439793753 600.1571525940323 0.0 1.0
-556.5 511.25 288.0 313.5 626.6108678522647 599.7156239244391 0.0 1.0
-603.5 511.5 328.0 313.5 687.8305806612439 599.9287457690288 0.0 1.0
-567.5 511.25 348.5 313.75 665.9649729548923 599.8464330348341 0.0 1.0
-570.0 511.5 331.0 313.0 659.3167357810435 599.6676730569216 0.0 1.0
-578.5 512.25 362.5 313.25 682.7026887774225 600.4378667815283 0.0 1.0
-579.0 512.25 310.0 313.5 656.7655823271491 600.5683387680493 0.0 1.0
-580.0 513.75 310.0 313.5 657.6476394170829 601.8489374083099 0.0 1.0
-561.5 514.5 305.0 313.75 638.9894191857254 602.6191594909392 0.0 1.0
-569.0 515.25 312.0 314.5 648.9262703565287 603.6497723802909 0.0 1.0
-573.5 507.75 322.5 318.5 657.9609108520453 599.3782465446313 0.0 1.0
-578.5 510.0 258.5 322.5 633.6299991589807 603.4122916491457 0.0 1.0
-600.0 512.75 264.5 325.0 655.713544873898 607.0742255883022 0.0 1.0
-610.5 512.0 267.0 327.75 666.3327172969143 607.9181371698097 0.0 1.0
-650.5 512.0 273.5 329.0 705.7925918355935 608.5927841670864 0.0 1.0
-595.0 514.0 269.0 332.25 652.9833444239152 612.034370007018 0.0 1.0
-653.0 514.25 272.5 332.25 707.5779708674772 612.244338906436 0.0 1.0
-635.5 514.25 263.5 332.75 687.981208456679 612.5159136807769 0.0 1.0
-617.0 514.0 263.5 332.0 670.9124580686387 611.8986844241455 0.0 1.0
-694.0 514.0 274.0 330.0 746.4114775220335 610.8158478625124 0.0 1.0
-742.0 514.0 309.0 330.5 806.552783856319 611.0862679466608 0.0 1.0
-783.0 514.0 240.0 331.0 818.9560624899657 611.3566880308091 0.0 1.0
-714.0 515.0 218.0 331.0 746.5387027259678 612.1979192467427 0.0 1.0
-620.0 515.0 258.5 331.0 675.3285938320855 612.1976804921757 0.0 1.0
-512.0 515.25 285.0 332.0 585.9778462147231 612.949085027558 0.0 1.0
-556.0 515.25 360.0 332.0 662.4656657376552 612.949085027558 0.0 1.0
-529.0 516.0 248.0 332.0 584.2477260633618 613.5796606798501 0.0 1.0
-530.5 515.5 246.5 332.0 584.9722224408489 613.1592968342218 0.0 1.0
-531.0 514.75 248.0 332.25 586.0590458586308 612.66446318866 0.0 1.0
-536.5 514.5 249.5 332.5 591.6778982569199 612.5899933887265 0.0 1.0
-539.0 514.5 254.0 332.5 595.8499849550709 612.5899933887265 0.0 1.0
-559.0 514.5 277.5 333.5 624.1948933772235 613.1333460186291 0.0 1.0
-579.0 515.0 296.0 333.5 650.2759085286168 613.5530326411392 0.0 1.0
-577.5 515.0 292.0 332.75 647.1247554363881 613.1462915425759 0.0 1.0
-578.0 514.0 291.5 331.75 647.3458857983137 611.763080148246 0.0 1.0
-580.0 513.75 294.0 333.0 650.2584473588877 612.2320885626307 0.0 1.0
-581.0 519.0 294.5 335.25 651.3764664946377 617.8634477233985 0.0 1.0
-583.0 519.75 295.5 332.25 653.6125007213761 616.8750990567743 0.0 1.0
-584.5 520.5 297.5 331.0 655.8555481201635 616.837298073476 0.0 1.0
-572.5 522.0 279.5 327.0 637.2026270915935 615.9654819426819 0.0 1.0
-525.5 521.75 322.0 325.25 616.3070121162255 614.8257831417619 0.0 1.0
-536.5 521.0 322.0 323.5 625.7133048464541 613.2645680574356 0.0 1.0
-537.5 520.0 320.5 322.25 625.8006871201086 611.7557581728008 0.0 1.0
-536.0 519.5 321.5 322.75 625.0266523487145 611.5946691069591 0.0 1.0
-536.5 519.5 321.5 324.0 625.4554340638508 612.2551102366326 0.0 1.0
-539.5 520.25 322.0 324.25 628.2868100360946 613.023760868264 0.0 1.0
-538.0 521.0 321.0 324.5 626.4863800325688 613.7925707238105 0.0 1.0
-538.0 521.75 321.5 325.0 626.7426232390217 614.6935398162971 0.0 1.0
-536.5 523.0 321.5 325.0 625.4554868698231 615.7549677873898 0.0 1.0
-537.5 524.25 321.0 325.0 626.0570535312762 616.817831019523 0.0 1.0
-538.0 496.725 322.5 325.3 627.2561279094848 593.7688005131379 0.0 1.0
-563.0 485.625 282.0 320.5 629.677072876465 581.8710240843661 0.0 0.0
-562.0 474.525 287.5 315.7 631.26876243332 569.9732476555942 0.0 0.0
-557.5 463.42499999999995 285.5 310.9 626.3520997445814 558.0754712268224 0.0 0.0
-554.5 452.32500000000005 285.0 306.1 623.4547647656599 546.1776947980505 0.0 0.0
-555.0 469.0 283.5 307.5 623.215293244079 560.8994216238051 0.0 0.0
-554.0 502.0 284.5 330.5 622.7820644936497 601.029306012852 0.0 1.0
-552.75 512.5 285.25 340.0 622.0132068732466 615.0336730932252 0.0 1.0
-592.75 514.5 345.75 335.5 686.2392040006036 614.2237529592452 0.0 1.0
-666.25 515.5 374.75 335.0 764.4137901091918 614.7891739858972 0.0 1.0
-692.5 516.5 382.5 336.0 791.1178391876355 616.1722741678103 0.0 1.0
-705.25 518.0 384.75 337.0 803.3752593242629 617.9749359371132 0.0 1.0
-713.0 518.5 386.5 338.0 811.0189646365212 618.9397591405984 0.0 1.0
-632.25 516.5 278.5 339.0 692.3865264740255 617.8132975550707 0.0 1.0
-577.75 515.5 374.75 339.5 689.2727871037193 617.2526336611924 0.0 1.0
-556.75 513.0 391.25 338.0 680.476107115004 614.3394992072037 0.0 1.0
-539.0 513.0 376.0 338.5 657.188740042529 614.6147784033906 0.0 1.0
-535.25 513.0 348.75 337.0 639.1824159794323 613.7898830670194 0.0 1.0
-539.5 511.5 322.25 335.0 628.415165355942 611.4386893480607 0.0 1.0
-541.5 511.5 323.75 335.0 630.9011921563373 611.4386893480607 0.0 1.0
-541.5 511.0 325.0 334.5 631.5435980250722 610.7464865874557 0.0 1.0
-541.0 509.5 325.5 332.5 631.3726582247234 608.396807461571 0.0 1.0
-541.0 508.0 326.5 332.0 631.8887823454567 606.8673833936452 0.0 1.0
-540.5 508.0 326.25 331.5 631.331557642545 606.5939745826693 0.0 1.0
-538.0 507.0 326.0 331.5 629.0628014835852 605.7568199124976 0.0 1.0
-535.5 506.0 324.25 332.0 626.0178228584259 605.1943280995492 0.0 1.0
-533.5 506.0 322.75 333.5 623.5301231829264 606.0183578077483 0.0 1.0
-537.25 506.0 296.0 335.0 613.9725650964748 606.8452634850668 0.0 1.0
-570.5 506.0 278.0 335.0 635.1493984662249 606.8455158846402 0.0 1.0
-576.875 505.5 241.375 335.125 625.3373960912802 606.4973604070261 0.0 1.0
-578.0 504.25 240.5 334.75 626.0387073536076 605.248403468991 0.0 1.0
-578.0 503.75 239.0 334.75 625.4639446149383 604.8319974343317 0.0 1.0
-575.0 503.75 239.5 334.75 622.8846201344195 604.8319974343317 0.0 1.0
-574.0 504.0 238.5 338.5 621.5773461340307 607.1234957907075 0.0 1.0
-572.5 503.0 238.0 342.0 620.0005461535617 608.2541992987301 0.0 1.0
-567.5 502.0 235.5 346.0 614.4239827228544 609.6885840206728 0.0 1.0
-619.0 502.25 265.5 344.75 673.5363793200834 609.1860382327716 0.0 1.0
-721.5 502.5 275.5 345.5 772.7889378742077 609.8169149437008 0.0 1.0
-851.75 503.5 273.25 347.0 894.588162601494 611.4910056574831 0.0 1.0
-652.0 503.75 261.0 346.0 702.4651339690928 611.13016824067 0.0 1.0
-638.625 504.5 264.375 346.0 691.3161236470787 611.7485839571534 0.0 1.0
-625.5 505.0 265.5 346.0 679.514900498878 612.1611874856894 0.0 1.0
-621.0 506.25 264.0 346.5 674.7866847939142 613.4750355216433 0.0 1.0
-618.5 506.75 263.0 346.0 672.0948308969296 613.6053963033294 0.0 1.0
