x_T x_A y_T y_A d_T d_A FaceA_T FaceT_A
-539.5 -637.5 322.0 194.5 628.2868100360946 666.6387800502514 1.0 0.0
-538.0 -550.5 321.0 277.0 626.4863800325688 616.8374119912753 1.0 0.0
-538.0 -545.0 321.5 316.5 626.7426232390217 630.2580726547483 1.0 0.0
-536.5 -560.5 321.5 339.0 625.4554868698231 655.1794350676394 1.0 1.0
-537.5 -552.0 321.0 359.5 626.0570535312762 658.7544220217549 1.0 1.0
-538.0 -508.5 322.5 373.5 627.2561279094848 630.9390300163088 1.0 0.0
-563.0 -510.5 282.0 376.5 629.677072876465 634.3208879135285 1.0 1.0
-562.0 -511.25 287.5 379.75 631.26876243332 636.8571205115936 1.0 1.0
-557.5 -512.25 285.5 379.5 626.3520997445814 637.5110794935756 1.0 1.0
-554.5 -515.75 285.0 374.75 623.4547647656599 637.5231344373178 1.0 1.0
-555.0 -517.25 283.5 371.25 623.215293244079 636.6910346242803 1.0 1.0
-554.0 -590.5 284.5 371.0 622.7820644936497 697.3780218079546 1.0 0.0
-552.75 -578.5 285.25 364.0 622.0132068732466 683.4927887284798 1.0 1.0
-592.75 -583.25 345.75 363.75 686.2392040006036 687.3830713783822 0.0 1.0
-666.25 -584.25 374.75 364.0 764.4137901091918 688.3661971358471 0.0 1.0
-692.5 -581.5 382.5 370.5 791.1178391876355 689.5196553164069 0.0 1.0
-705.25 -581.5 384.75 378.0 803.3752593242629 693.5692878217332 0.0 1.0
-713.0 -579.0 386.5 385.25 811.0189646365212 695.4639573511688 0.0 1.0
-632.25 -546.0 278.5 402.5 692.3865264740255 678.6745424319522 0.0 1.0
-577.75 -513.25 374.75 396.25 689.2727871037193 648.4196701008962 0.0 1.0
-556.75 -516.5 391.25 401.5 680.476107115004 654.1976016458214 1.0 1.0
-539.0 -521.5 376.0 399.25 657.188740042529 656.7869699639431 1.0 1.0
-535.25 -526.5 348.75 390.5 639.1824159794323 655.5248444339757 1.0 1.0
-539.5 -544.0 322.25 397.0 628.415165355942 673.4575253395135 1.0 1.0
-541.5 -557.75 323.75 410.5 630.9011921563373 692.5307153776732 1.0 1.0
-541.5 -556.25 325.0 402.5 631.5435980250722 686.6058135139212 1.0 1.0
-541.0 -551.0 325.5 387.5 631.3726582247234 673.6353427447289 1.0 1.0
-541.0 -548.5 326.5 376.75 631.8887823454567 665.4302235239654 1.0 1.0
-540.5 -551.25 326.25 374.0 631.331557642545 666.1503869568587 1.0 1.0
-538.0 -552.0 326.0 369.25 629.0628014835852 664.1190985720937 1.0 1.0
-535.5 -551.5 324.25 368.25 626.0178228584259 663.1450770200971 1.0 1.0
-533.5 -551.5 322.75 377.25 623.5301231829264 668.2008204623658 1.0 1.0
-537.25 -553.25 296.0 389.0 613.9725650964748 676.3221831983458 1.0 1.0
-570.5 -555.0 278.0 393.75 635.1493984662249 680.4881977491922 1.0 1.0
-576.875 -586.5 241.375 389.5 625.3373960912802 704.2315181632623 1.0 1.0
-578.0 -606.5 240.5 386.0 626.0387073536076 718.9146834436817 1.0 1.0
-578.0 -608.5 239.0 386.5 625.4639446149383 720.8706541398394 1.0 1.0
-575.0 -609.5 239.5 382.5 622.8846201344195 719.5809053616897 1.0 1.0
-574.0 -609.0 238.5 376.5 621.5773461340307 715.9842392612836 1.0 1.0
-572.5 -581.0 238.0 370.5 620.0005461535617 689.0930196888476 1.0 1.0
-567.5 -566.5 235.5 354.0 614.4239827228544 668.0108006560505 1.0 1.0
-619.0 -567.5 265.5 346.0 673.5363793200834 664.659499292683 0.0 1.0
-721.5 -567.5 275.5 341.0 772.7889378742077 662.070565484268 0.0 1.0
-851.75 -567.5 273.25 345.5 894.588162601494 664.3997080735726 0.0 1.0
-652.0 -536.0 261.0 355.0 702.4651339690928 642.9010065387092 0.0 1.0
-638.625 -531.0 264.375 360.0 691.3161236470787 641.5311592600785 0.0 1.0
-625.5 -528.0 265.5 365.5 679.514900498878 642.1646790483783 1.0 1.0
-621.0 -526.5 264.0 374.0 674.7866847939142 645.8164713209272 1.0 1.0
-618.5 -526.5 263.0 369.5 672.0948308969296 643.221290984327 1.0 1.0
-602.5 -540.0 255.0 390.0 654.2411866047489 666.1117550261222 1.0 1.0
-637.0 -539.5 259.0 373.0 687.6760032031982 655.8882672732171 1.0 1.0
-602.0 -539.0 251.0 360.0 652.2712843948648 648.1674166448048 1.0 1.0
-604.5 -540.0 235.5 351.0 648.7562580362338 644.0505215067426 1.0 1.0
-603.0 -541.0 238.0 350.0 648.269234192091 644.3454042669972 1.0 1.0
-604.0 -541.0 238.0 351.0 649.1998309770123 644.8892741703504 1.0 1.0
-606.0 -543.0 237.0 362.5 650.6958432297755 652.8851454205137 1.0 1.0
-608.0 -543.5 237.0 379.0 652.5589758972452 662.6004116053177 1.0 1.0
-601.5 -540.5 240.5 390.5 647.8307903124365 666.8086272649341 1.0 1.0
-616.5 -538.5 236.5 393.0 660.3067568476911 666.6568931016091 1.0 1.0
-617.0 -524.5 237.5 374.0 661.1322242652393 644.1866311346118 1.0 1.0
-583.0 -524.0 239.0 367.5 630.0887738845072 640.0254156048566 1.0 1.0
-580.0 -523.5 235.5 358.0 625.9876743559838 634.2053455615983 1.0 1.0
-785.875 -524.5 218.0 351.5 810.9566018620296 631.3894776751213 0.0 1.0
-649.55 -523.5 191.125 356.0 812.3949106429968 633.0783916704155 0.0 1.0
-376.94999999999993 -525.5 209.95833333333331 373.0 732.7219340026685 644.4224349014161 0.0 1.0
-380.5 -532.0 228.79166666666666 395.0 653.0489573623402 662.6079193968459 0.0 1.0
-750.5 -530.5 375.5 398.0 847.031186770781 663.2001281391938 0.0 1.0
-596.0 -529.0 227.5 393.5 637.9448131934503 659.3058820042509 0.0 1.0
-590.5 -524.0 226.0 388.5 632.2716383455961 652.3108633103761 0.0 1.0
-580.0 -526.0 304.5 374.5 655.0735855707096 645.7067690814947 0.0 1.0
-577.5 -523.0 299.5 371.5 650.543840218734 641.5163242107085 1.0 1.0
-576.0 -523.5 300.0 375.5 649.4428728933575 644.2456829502236 1.0 1.0
-575.0 -524.0 298.0 378.0 647.6333841478975 646.1115727430938 1.0 1.0
-571.0 -524.0 234.5 380.5 617.2773169977188 647.5774205605085 0.0 1.0
