d_T d_A d_P
705.7925918355935 680.7470155799459 608.5927841670864
652.9833444239152 683.455647621071 612.034370007018
707.5779708674772 685.2016813707248 612.244338906436
687.981208456679 687.1326291190079 612.5159136807769
670.9124580686387 688.2285230938921 611.8986844241455
746.4114775220335 688.5363098631764 610.8158478625124
806.552783856319 725.9783835931786 611.0862679466608
818.9560624899657 712.5201880245864 611.3566880308091
746.5387027259678 709.7537753228603 612.1979192467427
675.3285938320855 706.9768383759117 612.1976804921757
585.9778462147231 659.843471753018 612.949085027558
662.4656657376552 635.0042645825931 612.949085027558
584.2477260633618 635.122232330124 613.5796606798501
584.9722224408489 634.8331800156318 613.1592968342218
586.0590458586308 635.819419133155 612.66446318866
591.6778982569199 629.2005810965959 612.5899933887265
595.8499849550709 651.0863121534758 612.5899933887265
624.1948933772235 678.9200307530814 613.1333460186291
650.2759085286168 679.8301583821028 613.5530326411392
647.1247554363881 683.7605575053302 613.1462915425759
647.3458857983137 686.517479748331 611.763080148246
650.2584473588877 689.292753479971 612.2320885626307
651.3764664946377 690.1400918477799 617.8634477233985
653.6125007213761 686.3181127080088 616.8750990567743
655.8555481201635 714.0507957151502 616.837298073476
637.2026270915935 697.2177466001166 615.9654819426819
616.3070121162255 691.6608148772825 614.8257831417619
625.7133048464541 648.1498439987577 613.2645680574356
625.8006871201086 669.8798969455802 611.7557581728008
625.0266523487145 671.8132573380257 611.5946691069591
625.4554340638508 673.7466177304711 612.2551102366326
628.2868100360946 666.6387800502514 613.023760868264
626.4863800325688 616.8374119912753 613.7925707238105
626.7426232390217 630.2580726547483 614.6935398162971
625.4554868698231 655.1794350676394 615.7549677873898
626.0570535312762 658.7544220217549 616.817831019523
627.2561279094848 630.9390300163088 593.7688005131379
629.677072876465 634.3208879135285 581.8710240843661
631.26876243332 636.8571205115936 569.9732476555942
626.3520997445814 637.5110794935756 558.0754712268224
623.4547647656599 637.5231344373178 546.1776947980505
623.215293244079 636.6910346242803 560.8994216238051
622.7820644936497 697.3780218079546 601.029306012852
622.0132068732466 683.4927887284798 615.0336730932252
686.2392040006036 687.3830713783822 614.2237529592452
764.4137901091918 688.3661971358471 614.7891739858972
791.1178391876355 689.5196553164069 616.1722741678103
803.3752593242629 693.5692878217332 617.9749359371132
811.0189646365212 695.4639573511688 618.9397591405984
692.3865264740255 678.6745424319522 617.8132975550707
689.2727871037193 648.4196701008962 617.2526336611924
680.476107115004 654.1976016458214 614.3394992072037
657.188740042529 656.7869699639431 614.6147784033906
639.1824159794323 655.5248444339757 613.7898830670194
628.415165355942 673.4575253395135 611.4386893480607
630.9011921563373 692.5307153776732 611.4386893480607
631.5435980250722 686.6058135139212 610.7464865874557
631.3726582247234 673.6353427447289 608.396807461571
631.8887823454567 665.4302235239654 606.8673833936452
631.331557642545 666.1503869568587 606.5939745826693
629.0628014835852 664.1190985720937 605.7568199124976
626.0178228584259 663.1450770200971 605.1943280995492
623.5301231829264 668.2008204623658 606.0183578077483
613.9725650964748 676.3221831983458 606.8452634850668
635.1493984662249 680.4881977491922 606.8455158846402
625.3373960912802 704.2315181632623 606.4973604070261
626.0387073536076 718.9146834436817 605.248403468991
625.4639446149383 720.8706541398394 604.8319974343317
622.8846201344195 719.5809053616897 604.8319974343317
621.5773461340307 715.9842392612836 607.1234957907075
620.0005461535617 689.0930196888476 608.2541992987301
614.4239827228544 668.0108006560505 609.6885840206728
673.5363793200834 664.659499292683 609.1860382327716
772.7889378742077 662.070565484268 609.8169149437008
894.588162601494 664.3997080735726 611.4910056574831
702.4651339690928 642.9010065387092 611.13016824067
691.3161236470787 641.5311592600785 611.7485839571534
679.514900498878 642.1646790483783 612.1611874856894
674.7866847939142 645.8164713209272 613.4750355216433
672.0948308969296 643.221290984327 613.6053963033294
654.2411866047489 666.1117550261222 613.6710072672389
687.6760032031982 655.8882672732171 613.1171008763561
652.2712843948648 648.1674166448048 612.0849546622424
648.7562580362338 644.0505215067426 610.7604728076797
648.269234192091 644.3454042669972 557.8048760035874
649.1998309770123 644.8892741703504 409.2730631848664
650.6958432297755 652.8851454205137 192.8253614824393
652.5589758972452 662.6004116053177 358.94253795371156
647.8307903124365 666.8086272649341 525.0597144249839
660.3067568476911 666.6568931016091 689.9573356053997
661.1322242652393 644.1866311346118 733.4908006423287
630.0887738845072 640.0254156048566 765.8331208344804
625.9876743559838 634.2053455615983 743.6957264469881
810.9566018620296 631.3894776751213 722.5012065561721
812.3949106429968 633.0783916704155 728.2386857327945
732.7219340026685 644.4224349014161 736.0173549817168
653.0489573623402 662.6079193968459 725.5092351017055
847.031186770781 663.2001281391938 725.6578542510415
637.9448131934503 659.3058820042509 726.7481477020538
632.2716383455961 652.3108633103761 726.6161360421797
655.0735855707096 645.7067690814947 723.8161023353105
650.543840218734 641.5163242107085 714.6645169814748
649.4428728933575 644.2456829502236 695.4423776218408
647.6333841478975 646.1115727430938 694.4884551644727
617.2773169977188 647.5774205605085 693.7693588548577
621.7588368292882 648.0953825266408 691.4497244572985
628.4054719545495 650.2637165433895 737.0036214515592
628.1116540870739 652.4662826537476 780.9882789784957
628.1116880554198 654.2363869428236 778.667777835049
774.4051052831628 653.8128554869505 774.7049738904334
775.0781880267355 653.6208089595273 764.6575040858474
773.2867822534884 651.3636951343003 762.7522997159697
771.2798146693701 650.887253565819 768.1397278661289
714.0922496128271 651.7677884032012 761.000686934367
703.7120591292753 654.4258262947048 756.7361406351413
706.0074143626871 655.8073268880121 754.192946982223
688.5079671327746 634.7887928529206 759.0168204492102
698.1407828293225 629.3089353244322 763.6501054675424
623.1959942380863 630.4134882710482 769.5577078275894
321.11727699723446 632.5050719652324 770.7327294616391
289.43986727376205 641.1206640873093 769.1649846403054
282.31221502170587 660.902175876799 768.0380898401381
284.61679185453755 663.5229144542864 765.446246098259
261.4733641026343 665.0424101399155 764.9856492225423
283.37016678919656 665.3816514382524 764.5250523468255
272.73884054774976 664.9860900800858 760.6320448123449
269.82309019059136 665.9942987329064 764.7639086306876
280.7534505576022 667.3097107041077 773.7075422891055
220.2142062842679 667.4447542680967 755.8599252639857
215.92177526037653 663.7139820736038 739.1727572282979
195.7046479826201 658.27760580294 761.0091727538372
202.23215930273173 658.9449901167775 763.7453780193819
179.28042388794233 658.522968468071 752.8800606027195
183.46033971928142 659.92473655859 724.5855065990046
186.87117513254594 659.5553653750671 535.1070478449055
230.41034891224666 635.2015509355333 508.54963698718257
223.6605148608263 636.9023939026596 493.14852488603424
226.81549356243002 639.2078024108146 477.74741278488597
228.03273000046494 604.5544786087028 532.2563788323
312.7910615001503 573.4059443470353 593.0141460403585
422.5160921839437 590.5666427148126 603.4668522729585
627.6172058518156 649.401261753896 606.57826883096
691.142823085778 643.7034985442522 609.5888293753194
655.892799196839 640.705346454286 610.3026373784107
591.3777104610608 644.8119720330617 610.0633389706378
608.6640615394731 671.4341894287288 610.8927749006608
672.7893522919812 672.0019302049498 610.1280710384824
662.2202299514723 670.3380901478272 609.608551037679
652.847481705284 660.3820863712159 607.9204413212092
664.7702511004743 650.6522880957223 606.4365947244637
688.6163650450728 648.7874456806176 630.1001143308335
662.0072958759031 660.07018709419 650.7102540025036
662.4384023125382 653.4164372606178 651.2035978305644
657.8768123164605 643.8032961879312 652.5000689655394
653.3152223203826 646.9307443840889 652.3015717560816
660.78709962461 649.3798221380521 650.9046283643158
709.9363974601281 651.4737233491368 650.5058302997456
593.5390077884883 655.0467438677613 624.4190381435535
616.6036133550153 665.0004812032251 608.1060908865757
689.7521697488944 669.208856045647 575.7105329706521
686.7493066832376 670.6514318040134 579.3466241715857
610.4935470434796 669.950301927116 600.2684982059227
608.3302090955909 668.9777649518704 599.3091363952421
605.6641496382782 667.3098273110706 607.3366255069379
608.4630227055708 666.7429452222777 610.4318893502011
609.761739721778 665.4251688371389 612.9220882758627
614.7261593895626 629.9061808044601 608.1341394425333
777.2567202479394 629.4271114825358 608.1873323084809
942.2402761936578 627.9848625364801 608.5425386851815
953.0174453994181 627.398587321698 607.7777099147877
864.6061703382146 627.8735252045369 602.1492847372497
970.9795649233962 630.5573620042956 599.920411388044
972.7560947813474 661.334524914679 599.920411388044
612.7001381571995 665.0854488689154 599.5963895466655
444.4879933740109 669.2049387145913 599.4862564634078
688.4389415522841 672.8001919992339 598.953111831906
733.987757133986 677.9163667808139 598.1065724508508
750.4153510098433 666.9356762988398 598.3180592293701
648.4425251195112 658.2761177263073 598.8999594190745
615.2446558254587 661.979795764191 600.5997250058658
590.667770647566 666.4329234007894 602.1661790206426
599.4262633368196 664.1915366810952 602.701092646337
696.4912319554735 652.0356887666562 602.5287712972965
792.1762866490983 646.5269819454747 603.1851064438122
691.3609182355308 644.8019000450583 604.0863603474244
626.3521482464131 637.8524273142157 604.8375815043241
609.819933929683 633.2783620505655 604.6274314294267
605.2015999173407 633.8470486587775 604.4172813545291
620.0133631449376 638.7809361043956 603.8760220442604
652.2778784269301 645.4266826962955 604.962040597344
659.6520382975514 653.959874466372 610.3234651057085
514.082094462437 646.3041329138514 611.8596007067571
438.97370752467975 634.4357661929816 612.7040476445378
514.0477777808277 631.1061633293438 613.757901898206
517.4739859853313 630.7797713895345 613.9113417299899
498.3041402150909 631.2941073699326 614.2463512417244
503.06451767734984 633.1355206180393 615.430607413519
494.1867194249168 664.1220800837211 615.430607413519
568.1059711436517 670.7333451881641 615.4951814541259
550.4737880325276 669.7751435719207 614.7353760189287
525.9195248796991 668.0617486430427 614.941525726526
537.3038606412331 665.5118331029133 616.1790072430738
530.4255768878448 663.583194622511 617.5040451721371
549.3860726847159 662.3981053716866 617.0272118874003
571.787649046142 662.0035164084561 617.6453938242034
591.8196330415617 643.680077927009 618.8177074348863
594.8688125329888 611.7007074990289 619.1004401517798
599.6019376196274 581.9167943570735 618.6764097652342
595.8320356645178 569.8611881136436 615.5330978837904
461.9724982424617 606.7069251168837 601.7227351529939
486.4060556772373 653.4227683370264 603.1452385174023
429.94633956849236 651.8006293048891 603.089819397936
416.42257031535223 654.300007641866 602.9807875525553
397.5553718393769 652.2165196178387 602.6906321492377
397.1932831813055 654.1976720883661 600.7650775497574
493.22758467845154 653.3959366264837 600.8424344382358
621.9352825443176 656.1254817524516 601.1100099115899
628.1722253770353 657.0407167242398 601.568990224729
646.8194508117302 639.2964741836106 601.6861609435791
680.0724734729274 642.1109682254867 602.8396392618772
658.7700682076704 642.6826555378925 601.9844938912606
652.7687067870677 643.8380512970198 602.0342969759199
634.0907775033743 670.5335472282101 601.7509867046335
468.9619173900704 680.470795446377 601.0493793017351
824.9259007463888 675.1393538876556 601.1133376768998
749.7102454384956 666.975561711607 601.2500155624008
674.4945901306023 655.873917427066 600.2041945173966
599.2789348227093 646.2134971497703 599.995193005358
636.133965760441 641.105811087014 599.6489112221855
649.3808476911504 639.4008835027496 599.7933863263659
664.4791331604138 642.8230636358342 600.3574821494993
671.8992262110773 651.893581815385 599.8124357450924
662.3272397240383 659.3932224507978 599.9483311086047
649.7893932873021 660.68233369913 600.9967395939354
672.2637989259363 660.0379885638756 601.0832500885872
688.4658734064942 655.5524387873178 601.7134541006757
678.7341829690985 645.9365108372747 603.1707551996316
709.7489034486459 628.8311167562226 603.5770456205239
692.9749650238587 428.87110604484656 603.9971634875264
759.5179164711221 323.6013925326174 604.4172813545291
750.7674755095852 241.93229087866763 604.9597094022047
700.7934302522376 160.2631892247178 604.7498085503064
727.8527120538797 123.36238396387367 604.5283834736749
702.0751159589802 183.62471369389692 603.9728884643747
491.3523148039451 208.44400230132362 605.2203797128552
387.6847457092548 216.75561980567284 605.8385355025223
365.5439125989535 224.79032253966693 605.6290733203568
408.06954956300365 253.80702618011873 605.0839397425943
388.5812519170204 344.16497128108716 604.6645764388716
359.8697199676143 683.3000749864639 604.3924022696029
355.7769681847593 630.7802914282724 604.6645764388716
363.61877944544204 634.7444659757834 604.6645764388716
339.97038941037795 644.3629763131242 604.6645764388716
397.2968607897003 650.0434469803524 605.0839397425943
428.4343590329795 650.4037867266596 605.010749814674
428.99239671420935 644.4725613547915 604.8641420366587
448.70307547036157 648.7590076445953 605.1469829866307
455.3661508409218 653.5007651104931 604.8742274609234
576.0100125013089 660.5080887771687 603.8263409292443
643.4375064767855 690.0771213899426 604.2454586840579
593.8402240574765 688.5304446011567 604.2562424171599
692.2572293184551 681.2799741193808 590.6573121549825
638.9871981322608 670.4080226333673 582.9365924699395
664.6751955906188 660.3065821452979 588.3869055663131
616.4088992502386 645.6016088310648 593.8372186626868
697.2352367979772 629.2000773651143 595.0753141879411
623.6734322140007 627.9844743303771 598.5667102303416
497.727120381821 632.8168469161292 611.3653206717026
401.18435458474664 612.4968717971062 610.843859517873
386.8759993099535 558.8742407233976 613.7892993434086
456.11801061354066 520.8393388984305 614.6288862147762
