x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
520.0 512.25 376.5 340.75 641.994266006374 615.2322065269354 0.0 0.0
519.0 509.75 383.0 337.5 645.019881418501 611.352808889562 0.0 0.0
516.5 510.75 393.0 336.0 649.0156077109461 611.3604194993945 0.0 0.0
517.0 512.0 404.0 336.0 656.1289166149625 612.405111546671 0.0 0.0
516.0 513.5 410.5 335.0 659.3685330772071 613.1128977308647 0.0 0.0
517.0 513.0 413.0 333.0 661.7083949898173 611.6028299921638 0.0 0.0
517.0 513.25 412.0 332.25 661.0847146924515 611.4046372718055 0.0 0.0
519.5 515.5 405.5 335.5 659.0263204208607 615.0617681082749 0.0 0.0
521.5 516.25 394.5 334.75 653.9096031202341 615.281841566469 0.0 0.0
522.5 516.5 391.0 333.75 652.6013028417304 614.9485420044084 0.0 0.0
511.0 511.25 372.0 323.5 632.0777182506708 605.0256806642449 0.0 0.0
507.5 507.25 365.5 318.5 625.4170711515399 598.9533555019309 0.0 0.0
507.5 510.25 366.5 317.0 626.0019968019271 600.7031039931139 0.0 0.0
507.5 510.5 366.0 315.0 625.7093974042583 599.8627500835781 0.0 0.0
509.5 510.5 369.5 315.5 629.3820833956249 600.1266312944742 0.0 0.0
520.5 511.75 396.0 314.75 654.015856795952 600.7958767157943 0.0 0.0
519.0 512.25 397.0 314.75 653.4294853183852 601.221875230417 0.0 0.0
518.5 510.75 397.0 315.25 653.0323498878138 600.206833824068 0.0 0.0
518.5 513.25 397.5 315.25 653.3364370674576 602.3358628726417 0.0 0.0
517.5 514.5 397.0 314.5 652.2386449759015 603.0095583829791 0.0 0.0
516.5 516.0 397.0 313.5 651.4455080818349 603.7707726963977 0.0 0.0
516.5 519.0 398.0 313.0 652.0554040877201 606.0777728198085 0.0 0.0
514.5 522.0 401.0 312.0 652.3123527305451 608.1350698773878 0.0 0.0
512.5 523.25 405.0 311.5 653.2085454852233 608.9527682244263 0.0 0.0
512.5 524.0 410.5 310.5 656.6326979369821 609.0864312369627 0.0 0.0
512.5 523.25 416.0 311.5 660.0850324011294 608.9524803488175 0.0 0.0
514.5 518.0 423.5 317.0 666.380146763092 607.3147361015589 0.0 0.0
519.5 514.0 434.0 331.5 676.9315716979347 611.6279021091842 0.0 0.0
525.0 514.5 443.0 334.25 686.9330378524901 613.5418036777097 0.0 0.0
570.5 514.25 435.5 335.0 718.6375057389487 613.7412899381986 0.0 0.0
595.0 514.0 423.0 334.25 730.0372686398234 613.1225774519467 0.0 0.0
592.5 514.75 431.0 334.0 732.6787115509101 613.6151733924411 0.0 0.0
591.5 515.0 432.5 333.5 732.7568304892973 613.5531159866521 0.0 0.0
589.0 514.0 425.0 333.0 726.3264487106649 612.442075332471 0.0 0.0
575.5 514.25 380.0 333.25 690.19512043963 612.7875899957282 0.0 0.0
